,Date,Open,High,Low,Close,Volume,macd,macdsignal,macdhist
68,4/18/2000,530.062012,536.622009,525.768982,528.258972,3961700,-27.48377374,-30.10638739,2.622613644
69,4/19/2000,528.20697,530.961975,524.807983,526.299988,4194800,-28.22010121,-29.90783095,1.687729738
70,4/20/2000,526.299988,526.395996,519.213013,526.395996,2201000,-28.78270896,-29.78939705,1.006688097
71,4/24/2000,526.078979,530.848999,524.44397,530.848999,1693500,-29.00568245,-29.70690078,0.701218326
72,4/25/2000,529.731018,529.731018,515.619995,519.04303,2908500,-29.61448204,-29.69717249,0.082690455
73,4/26/2000,518.869019,524.263,510.066986,524.078003,3425100,-29.8512409,-29.71339022,-0.137850681
74,4/27/2000,523.664001,523.664001,519.179016,521.619995,1962700,-30.07460817,-29.75141316,-0.323195007
75,4/28/2000,521.635986,526.737,517.966003,526.737,2651600,-29.96529428,-29.77392696,-0.191367314
76,5/1/2000,526.83197,526.869995,521.505981,524.609009,1318300,-29.86799701,-29.78382907,-0.084167939
77,5/2/2000,524.552979,531.254028,523.88501,531.254028,2978200,-29.41084777,-29.74456788,0.333720112
78,5/3/2000,531.270996,539.809021,529.106018,535.310974,2901700,-28.74589047,-29.63944394,0.893553477
79,5/4/2000,535.310974,539.77301,533.130005,538.966003,2740700,-27.91595831,-29.4580244,1.54206609
80,5/5/2000,539.049011,545.609985,539.049011,545.609985,2448700,-26.81615662,-29.17993306,2.363776435
81,5/8/2000,545.388977,553.851013,545.388977,550.328979,2665400,-25.56212215,-28.79911086,3.236988705
82,5/9/2000,550.622009,550.767029,537.887024,547.671997,1929800,-24.48707315,-28.34521215,3.858139003
83,5/10/2000,547.671997,548.23999,544.04303,548.23999,1945600,-23.43742154,-27.82860261,4.391181075
84,5/11/2000,546.726013,546.726013,527.432983,529.200989,2502300,-23.24209552,-27.34581239,4.103716869
85,5/12/2000,529.400024,532.307983,517.432007,526.877014,2240400,-23.09723273,-26.89859348,3.801360747
86,5/15/2000,526.588989,526.588989,512.783997,516.429993,1805100,-23.34079514,-26.52408839,3.183293249
87,5/16/2000,515.872009,516.30603,495.200989,497.819,3678500,-24.27253185,-26.28708244,2.014550592
88,5/17/2000,497.819,514.851013,497.819,514.851013,3434800,-24.3042634,-26.07836465,1.774101251
89,5/19/2000,514.924988,515.338013,506.158997,509.404999,2287400,-24.48915459,-25.91107938,1.421924786
90,5/22/2000,507.819,507.819,496.802002,499.768005,2452400,-24.98620547,-25.81372423,0.827518756
91,5/23/2000,499.502014,499.967987,492.997009,495.51001,2857100,-25.53076667,-25.78393922,0.253172555
92,5/24/2000,495.204987,495.204987,487.821991,493.20401,2254200,-26.03324457,-25.81018189,-0.223062675
93,5/25/2000,493.705994,497.911987,487.707001,490.682007,2499400,-26.5060791,-25.88343423,-0.622644875
94,5/26/2000,489.716003,489.716003,474.630005,482.072998,4942700,-27.2085056,-26.02291543,-1.18559017
95,5/29/2000,481.179993,481.179993,457.980988,461.389008,4986800,-28.62240423,-26.29654583,-2.325858405
96,5/30/2000,461.105988,468.708008,441.635986,468.708008,5378700,-29.47836611,-26.63147428,-2.846891829
97,5/31/2000,469.407013,474.317993,452.795013,454.326996,7688100,-30.75494459,-27.06552378,-3.689420802
98,6/2/2000,454.993011,459.143005,440.463013,444.447998,4888100,-32.20976018,-27.60702235,-4.602737831
99,6/5/2000,446.041992,454.700989,446.041992,453.945007,2727800,-32.99906369,-28.17460565,-4.824458042
100,6/6/2000,453.144012,453.144012,444.916992,452.761993,2066700,-33.64819995,-28.75077347,-4.897426482
101,6/7/2000,451.901001,459.460999,445.516998,459.460999,2689200,-33.83816199,-29.28628805,-4.551873938
102,6/8/2000,460.743988,478.209015,459.963989,478.209015,6478600,-33.11181024,-29.6889746,-3.422835638
103,6/9/2000,478.792999,484.274994,472.218994,477.928009,5284100,-32.38069966,-29.97231408,-2.408385582
104,6/12/2000,478.627991,484.390991,473.471985,476.03299,3259700,-31.7157982,-30.15583872,-1.559959474
105,6/13/2000,476.03299,476.03299,465.855988,468.362,2270000,-31.35563429,-30.28213299,-1.073501301
106,6/14/2000,468.376007,475.933014,466.096985,475.933014,2345200,-30.62214631,-30.31792387,-0.304222442
107,6/16/2000,475.898987,484.020996,475.699005,484.020996,3365100,-29.53852595,-30.23588198,0.697356036
108,6/19/2000,484.020996,491.278015,481.829987,490.687988,7795500,-28.20826758,-30.02244889,1.814181312
