Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,470.140015,481.220001,432.959991,433.829987,433.817108,0
1995-02-01,434.649994,457.329987,434.649994,453.579987,453.566528,0
1995-03-01,452.880005,452.880005,422.130005,428.640015,428.627289,0
1995-04-01,424.489990,430.850006,414.209991,416.450012,416.437653,0
1995-05-01,415.320007,475.279999,415.320007,475.279999,475.265900,785200
1995-06-01,475.329987,499.160004,475.329987,492.279999,492.265381,7387000
1995-07-01,492.339996,512.820007,488.470001,512.059998,512.044800,10968900
1995-08-01,512.099976,519.530029,493.200012,500.750000,500.735138,7844400
1995-09-01,500.579987,502.600006,481.959991,493.239990,493.225342,8591000
1995-10-01,493.239990,502.410004,486.269989,488.450012,488.435516,8982600
1995-11-01,488.500000,490.640015,450.899994,481.730011,481.715729,14117300
1995-12-01,481.730011,516.239990,481.730011,513.849976,513.834717,13136200
1996-01-01,513.849976,579.739990,510.660004,578.559998,578.542847,16233500
1996-02-01,579.109985,601.969971,575.919983,585.208984,585.191589,15468000
1996-03-01,585.208984,593.581970,541.101013,585.705017,585.687622,16819700
1996-04-01,585.693970,631.406982,585.693970,623.908997,623.890442,23433800
1996-05-01,624.007019,629.643982,598.398010,617.466003,617.447693,17664300
1996-06-01,617.434998,629.862976,569.543030,594.258972,594.241333,17732100
1996-07-01,594.466980,597.421997,527.768005,536.028992,536.013062,28358400
1996-08-01,536.122986,568.768982,530.893982,547.609985,547.593689,25097700
1996-09-01,547.609985,574.700989,536.411987,573.939026,573.921997,27045000
1996-10-01,574.299988,592.627991,563.310974,568.028992,568.012146,29223700
1996-11-01,568.028992,631.888977,567.866028,613.013000,612.994751,36704800
1996-12-01,613.013000,638.560974,612.742004,637.432007,637.413086,41495000
1997-01-01,637.432007,695.978027,634.140015,691.116028,691.095520,50877800
1997-02-01,691.116028,717.466980,677.138000,705.374023,705.353088,36104100
1997-03-01,705.781006,706.659973,646.943970,662.236023,662.216370,37922100
1997-04-01,662.236023,662.236023,630.072021,652.049011,652.029663,41156900
1997-05-01,652.505005,699.718994,644.528015,696.028015,696.007385,50299800
1997-06-01,696.117981,724.556030,686.872009,724.556030,724.534546,60555800
1997-07-01,725.028992,742.953979,707.416992,721.270020,721.248596,69798600
1997-08-01,721.497009,722.223022,491.910004,493.962006,493.947357,76564500
1997-09-01,493.598999,615.133972,475.471008,546.687988,546.671814,82948300
1997-10-01,546.219971,546.219971,444.300995,500.417999,500.403137,89051700
1997-11-01,500.800995,514.716003,385.851013,401.708008,401.696075,68333200
1997-12-01,401.302002,427.890991,335.694000,401.712006,401.700073,102378100
1998-01-01,402.104004,486.893005,321.078003,485.937988,485.923553,99260800
1998-02-01,486.023010,570.052002,437.980988,482.377991,482.363678,137798700
1998-03-01,482.377991,550.268982,482.377991,541.424988,541.408936,126838200
1998-04-01,543.099976,546.676025,456.039001,460.135010,460.121338,87312900
1998-05-01,460.114990,460.114990,384.096985,420.464996,420.452515,48169500
1998-06-01,420.230988,445.920013,384.713013,445.920013,445.906769,54231200
1998-07-01,445.164001,492.220001,441.811005,481.717010,481.702728,69488900
1998-08-01,481.786011,482.339996,323.242004,342.436005,342.425842,42815000
1998-09-01,342.082001,342.082001,255.464005,276.149994,276.141785,51341000
1998-10-01,276.588013,351.131989,255.973999,300.769989,300.761078,50768100
1998-11-01,301.203003,436.794006,301.203003,386.270996,386.259552,89716500
1998-12-01,385.920990,414.498993,373.993988,398.037994,398.026184,45607700
1999-01-01,393.963989,462.121002,376.303009,411.932007,411.919800,33425100
1999-02-01,412.209015,417.764008,393.208008,396.088989,396.077209,24467500
1999-03-01,396.048004,399.303009,370.643005,393.625000,393.613312,26736700
1999-04-01,393.625000,528.546997,392.033997,495.221985,495.207275,93406700
1999-05-01,495.191986,626.093018,495.191986,585.242004,585.224609,216754100
1999-06-01,585.336975,720.049988,567.961975,662.025024,662.005371,289832300
1999-07-01,667.825989,690.267029,567.422974,597.874023,597.856323,157322200
1999-08-01,598.164001,622.690002,550.403015,567.026001,567.009155,107444600
1999-09-01,567.026001,576.875977,503.597992,547.937012,547.920715,76223100
1999-10-01,548.335022,644.072998,548.335022,593.869019,593.851440,192662500
1999-11-01,594.703003,647.505981,571.138000,583.799988,583.782654,123764000
1999-12-01,583.234009,693.533020,583.234009,676.919006,676.898926,134509000
2000-01-01,677.473999,707.469971,626.296997,636.372009,636.353149,230328800
2000-02-01,636.760986,642.138000,565.346985,576.541992,576.524841,130098100
2000-03-01,577.786011,599.822021,528.203979,583.276001,583.258728,95787700
2000-04-01,583.546997,583.565979,510.066986,526.737000,526.721375,51821900
2000-05-01,526.831970,553.851013,441.635986,454.326996,454.313538,67936300
2000-06-01,454.993011,515.109985,440.463013,515.109985,515.094666,85154000
2000-07-01,514.658020,517.885010,489.351990,492.192993,492.178375,85389700
2000-08-01,492.192993,510.157013,459.643005,466.380005,466.366150,123855100
2000-09-01,466.380005,478.945007,405.204010,421.335999,421.323517,88684600
2000-10-01,421.160004,432.497009,399.072998,405.346985,405.334930,104411100
2000-11-01,406.894989,436.121002,405.566986,429.213989,429.201233,76156700
2000-12-01,428.273010,438.592010,410.938995,416.321014,416.308655,53545200
2001-01-01,415.372009,425.614014,402.381989,425.614014,425.601379,106898300
2001-02-01,426.265991,469.812012,420.807007,428.303009,428.290314,120228700
2001-03-01,426.644989,435.375000,352.670990,381.049988,381.038696,127172700
2001-04-01,381.045990,381.263000,338.178986,358.231995,358.221344,100524400
2001-05-01,359.402008,414.136993,357.809998,405.863007,405.850952,146043200
2001-06-01,405.782990,440.045013,386.497009,437.619995,437.607025,139902400
2001-07-01,437.309998,478.368011,426.501007,444.080994,444.067810,253387200
2001-08-01,443.545990,446.135986,427.876007,435.552002,435.539093,135843800
2001-09-01,435.472992,449.268005,388.950989,392.476013,392.464355,2311776700
2001-10-01,392.467010,394.976013,361.671997,383.734985,383.723602,84512300
2001-11-01,383.980011,386.342987,366.006989,380.308014,380.296722,87454800
2001-12-01,380.203003,392.036011,368.464996,392.036011,392.024384,60589100
2002-01-01,387.308990,453.437988,377.703003,451.635986,451.622589,116091800
2002-02-01,453.173004,466.674011,428.906006,453.246002,453.232544,119171400
2002-03-01,452.942993,488.127991,449.101990,481.774994,481.760712,214314400
2002-04-01,482.524994,557.593018,481.006989,534.062012,534.046143,356991900
2002-05-01,534.109985,551.041992,495.981995,530.789978,530.774231,164780800
2002-06-01,530.817017,547.234985,498.743011,505.009003,504.994019,124158200
2002-07-01,505.144012,505.596008,439.273987,463.669006,463.655243,143083000
2002-08-01,462.944000,466.946991,437.044006,443.674011,443.660828,100498500
2002-09-01,443.027008,443.402008,401.700989,419.307007,419.294556,82798000
2002-10-01,418.472992,418.472992,323.316986,369.044006,369.033051,116010700
2002-11-01,369.704987,391.170013,360.575989,390.424988,390.413391,97135400
2002-12-01,390.424988,428.622986,387.855011,424.945007,424.932404,62934600
2003-01-01,423.342010,423.342010,386.812988,388.442993,388.431488,53099800
2003-02-01,388.230988,404.931000,387.954010,399.220001,399.208160,35011000
2003-03-01,398.742004,404.472992,377.406006,398.003998,397.992188,49920100
2003-04-01,397.041992,452.632996,393.842010,450.860992,450.847595,238938200
2003-05-01,452.154999,500.613007,446.902008,494.776001,494.761292,113518100
2003-06-01,495.237000,524.892029,493.274994,505.498993,505.484009,151416100
2003-07-01,505.473999,539.130981,496.217987,507.984985,507.969910,161441900
2003-08-01,508.109009,531.747009,479.820007,529.674988,529.659241,214746500
2003-09-01,529.505981,606.622986,529.505981,597.651978,597.634277,304108100
