Date,Open,High,Low,Close,Adj Close,Volume
1/4/2000,677.473999,704.031982,677.473999,700.218018,700.197266,11053800
1/5/2000,694.859009,694.859009,674.336975,678.086975,678.066895,8685000
1/6/2000,681.297974,691.887024,681.297974,688.520996,688.500549,7604500
1/11/2000,691.924011,704.541992,691.924011,696.002991,695.982361,17793800
1/12/2000,696.29303,698.14502,686.705017,690.164001,690.143494,14668700
1/13/2000,690.79303,699.674988,688.401978,691.609985,691.589478,23777100
1/14/2000,691.80603,694.085022,683.700989,690.892029,690.871521,24296600
1/17/2000,691.604004,707.469971,691.604004,703.482971,703.462097,12189200
1/18/2000,703.799011,704.348999,681.489014,685.716003,685.695618,9106600
1/19/2000,685.916016,685.916016,652.039978,655.994995,655.975525,16679500
1/20/2000,656.414001,673.90802,656.414001,670.153015,670.133118,12962300
1/21/2000,670.28302,670.905029,662.932007,664.69397,664.674194,9197300
1/24/2000,664.69397,668.976013,653.549988,656.721985,656.702454,10814200
1/25/2000,656.169983,656.169983,645.473022,649.857971,649.838684,10807600
1/26/2000,649.674011,656.715027,640.239014,643.38501,643.365906,13226300
1/27/2000,643.632996,650.06897,633.812988,644.651001,644.631897,9470000
1/28/2000,645.299988,646.276001,633.271973,634.669006,634.650146,11709000
1/31/2000,634.502991,636.372009,626.296997,636.372009,636.353149,6287300
2/1/2000,636.760986,638.375977,613.530029,616.856018,616.837708,5164600
2/2/2000,617.104004,621.723022,601.45697,603.575989,603.558105,5577200
2/3/2000,603.051025,615.013977,600.156006,614.309998,614.291748,4240700
2/4/2000,614.309998,634.997986,614.309998,634.997986,634.979126,6097900
2/7/2000,635.341003,641.166992,631.974976,636.427979,636.409119,5173700
2/8/2000,637.955017,639.752014,627.203979,629.900024,629.881348,4267400
2/9/2000,631.426025,632.450989,626.085999,632.450989,632.43219,8965100
2/10/2000,631.40802,642.138,630.025024,639.252991,639.234009,22673200
2/11/2000,639.051025,640.934021,630.653992,635.078003,635.059143,12484900
2/14/2000,634.624023,638.091003,632.096985,633.715027,633.696228,8869800
2/15/2000,634.674988,641.606018,634.674988,636.89502,636.876099,6730200
2/16/2000,637.28302,637.28302,618.903015,621.901978,621.883545,6584900
2/17/2000,621.323975,623.703003,595.116028,600.174011,600.156189,6388600
2/18/2000,600.057007,604.575012,577.958984,599.572998,599.555176,4987800
2/21/2000,599.572998,599.572998,589.768982,592.987976,592.970398,3970400
2/22/2000,593.052002,596.114014,580.517029,583.419983,583.402649,3728800
2/23/2000,583.551025,591.786011,580.84198,584.427979,584.410645,3912000
2/24/2000,584.687988,587.281982,570.97998,573.487,573.469971,3614400
2/25/2000,573.781982,575.664001,565.346985,568.554993,568.538147,3225700
2/28/2000,568.166016,579.492004,567.151978,576.541992,576.524841,3440800
3/1/2000,577.786011,581.932983,561.713989,565.478027,565.461243,5175200
3/2/2000,565.481018,565.481018,543.281006,546.528015,546.511841,4226200
3/3/2000,547.328979,548.552979,528.203979,548.552979,548.536682,4418400
3/6/2000,549.453979,571.56897,549.453979,566.710022,566.693176,6469200
3/7/2000,565.948975,565.948975,555.452026,562.758972,562.742249,5288400
3/8/2000,562.177979,571.109009,552.005005,570.052002,570.035095,5105500
3/9/2000,570.525024,589.822021,570.525024,585.179993,585.162598,7215800
3/10/2000,587.088013,598.039001,587.088013,596.182007,596.164307,6034600
3/13/2000,596.182007,599.822021,583.578979,587.575989,587.558533,4511900
3/14/2000,587.844971,590.184998,580.853027,585.921021,585.903625,2187300
3/15/2000,585.622986,587.658997,579.627991,586.869019,586.851624,3257100
3/17/2000,588.317017,598.409973,587.580017,590.85199,590.834412,3974500
3/20/2000,590.713013,590.713013,581.327026,584.875977,584.858582,2483200
3/21/2000,584.789001,585.005981,575.401001,578.965027,578.947876,2467400
3/22/2000,579.575012,586.86499,579.575012,586.86499,586.847595,3875900
