Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
758472593896792064,"""He has no clue. Period.” –VP Biden on Donald Trump #DemsInPhilly",Joe Biden,JoeBiden,Thu Jul 28 01:22:12 +0000 2016,2379,1252,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,0
758472735706193920,“The threats are too great and the times are too uncertain to elect Donald Trump president of the United States.” –VP Biden #DemsInPhilly,Joe Biden,JoeBiden,Thu Jul 28 01:22:46 +0000 2016,2405,1365,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,0
758473276075245568,"""It's never been a good bet to bet against America."" -VP Biden #DemsInPhilly",Joe Biden,JoeBiden,Thu Jul 28 01:24:55 +0000 2016,2137,1058,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,0
758473908584677377,"""I am more optimistic about our chances today than when I was elected as a 29-year-old kid to the Senate."" -VP Biden #DemsInPhilly",Joe Biden,JoeBiden,Thu Jul 28 01:27:26 +0000 2016,1962,587,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,0
758474960989978625,Our choice in November is between division and hate — and the idea that we're stronger together. Let’s go. https://t.co/Vc7191V3pq,Joe Biden,JoeBiden,Thu Jul 28 01:31:37 +0000 2016,5225,2177,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,0,0,0
759074085792014336,".@SarahEMcBride - Beau loved you, I love you, and all the Bidens are proud of you. -Joe",Joe Biden,JoeBiden,Fri Jul 29 17:12:19 +0000 2016,2302,420,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,1
761590205967106048,America is going to see what VP Biden already knows — just how much @HillaryClinton cares about our country. https://t.co/OakQ0Yhw0l,Joe Biden,JoeBiden,Fri Aug 05 15:50:29 +0000 2016,6008,2438,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Video,0,0,1
762367327883104256,"No one wants to earn a Purple Heart. But to those who did, you have America's unending gratitude and admiration. Thank you. #PurpleHeartDay",Joe Biden,JoeBiden,Sun Aug 07 19:18:29 +0000 2016,19265,6691,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,0
765194171196051459,The VP is stepping up to the plate in Scranton again. He'll introduce @HillaryClinton to his hometown in a few hours https://t.co/iVjE25ohxl,Joe Biden,JoeBiden,Mon Aug 15 14:31:21 +0000 2016,1757,446,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,0,0,1
765217016621961216,Scranton families like the Bidens know the meaning of hard work and giving your kids a better life. https://t.co/MQoe5IxJUb,Joe Biden,JoeBiden,Mon Aug 15 16:02:08 +0000 2016,580,178,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,Photo,0,0,0
765217736104484865,"Those are the values that Joe Biden brought to the White House &amp; they're the values @HillaryClinton will bring, too. https://t.co/crrQwousyw",Joe Biden,JoeBiden,Mon Aug 15 16:05:00 +0000 2016,636,172,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,Photo,0,0,1
765226579693805569,VP Biden is about to go live on https://t.co/c0F9NPZ9dY. Tune in for a live behind-the-scenes preview from Scranton.,Joe Biden,JoeBiden,Mon Aug 15 16:40:08 +0000 2016,290,105,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
765241509146980352,"""Everyone is entitled to be treated with dignity and respect... and America can be defined in one single word — 'possibilities.'” -VP Biden",Joe Biden,JoeBiden,Mon Aug 15 17:39:27 +0000 2016,3202,1218,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,0
765243081822236672,"""She understands what it means to...young girls...when it's President Hillary Rodham Clinton. It will change their lives."" -VP Biden",Joe Biden,JoeBiden,Mon Aug 15 17:45:42 +0000 2016,661,197,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,0
