,Unnamed: 0,Unnamed: 0.1,player_name,team_abbreviation,age,player_height,player_weight,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Season_year
33,6259,6259,Julian Wright,TOR,24.0,203.2,102.0582,2007,52,3.6,2.3,1.1,-1.0,0.07400000000000001,0.107,0.131,0.525,0.11,2010-11,2010
34,6260,6260,Juwan Howard,MIA,38.0,205.74,113.398,1994,57,2.4,2.1,0.4,2.6,0.081,0.16899999999999998,0.133,0.495,0.062,2010-11,2010
35,6261,6261,Keith Bogans,CHI,31.0,195.58,97.52228000000001,2003,82,4.4,1.8,1.2,5.7,0.016,0.105,0.115,0.5589999999999999,0.098,2010-11,2010
36,6262,6262,Kendrick Perkins,OKC,26.0,208.28,127.00576000000001,2003,29,6.0,8.0,0.9,6.9,0.10099999999999999,0.253,0.134,0.5379999999999999,0.052000000000000005,2010-11,2010
37,6263,6263,Kenyon Martin,DEN,33.0,205.74,108.86208,2000,48,8.6,6.2,2.3,7.9,0.065,0.203,0.166,0.526,0.13,2010-11,2010
38,6264,6264,Kevin Durant,OKC,22.0,205.74,104.32616,2007,78,27.7,6.8,2.7,4.7,0.023,0.174,0.302,0.589,0.127,2010-11,2010
39,6265,6265,Josh McRoberts,IND,24.0,208.28,108.86208,2007,72,7.4,5.3,2.1,2.5,0.081,0.18100000000000002,0.14800000000000002,0.608,0.14300000000000002,2010-11,2010
40,6266,6266,LeBron James,MIA,26.0,203.2,113.398,2003,79,26.7,7.5,7.0,10.5,0.033,0.184,0.312,0.594,0.34299999999999997,2010-11,2010
41,6267,6267,Mario West,NJN,27.0,195.58,95.25432,Undrafted,6,3.7,1.8,1.7,0.0,0.018000000000000002,0.114,0.10099999999999999,0.474,0.12300000000000001,2010-11,2010
42,6268,6268,Leon Powe,MEM,27.0,203.2,108.86208,2006,30,5.3,2.1,0.2,-10.3,0.08199999999999999,0.16399999999999998,0.23399999999999999,0.524,0.038,2010-11,2010
43,6269,6269,Mario Chalmers,MIA,25.0,187.96,86.18248,2008,70,6.4,2.1,2.5,8.8,0.009000000000000001,0.094,0.15,0.5379999999999999,0.172,2010-11,2010
44,6270,6270,Marquis Daniels,BOS,30.0,198.12,90.7184,Undrafted,49,5.5,2.3,1.3,1.2,0.034,0.11599999999999999,0.152,0.527,0.113,2010-11,2010
